Qty,Value,Device,Package,Parts,Description,MPN,NO_BOM,PROD_ID,SF_ID,VALUE
1,1.5K,MICROBUILDER_RESISTOR0603MINI,MICROBUILDER_0603-MINI,R5,Resistors,ERJ-PA3J152V,,,,
2,100K,MICROBUILDER_RESISTOR0603MINI,MICROBUILDER_0603-MINI,"R3, R19",Resistors,ERJ-PA3J104V,,,,
1,100uF,CAP_TANTALUMA/3216_WAVE,EIA3216-18/A-W,C10,Tantalum Capacitors,6TPH100MAEA,,,,
2,10uF,MICROBUILDER_CAP_CERAMIC0603MINI,MICROBUILDER_0603-MINI,"C1, C4",Ceramic Capacitors,CL10A106MP8NNNC,,,,
1,150 Ohm,MICROBUILDER_RESISTOR0603MINI,MICROBUILDER_0603-MINI,R18,Resistors,ERJ-PA3J151V,,,,
2,1uF,MICROBUILDER_CAP_CERAMIC0603MINI,MICROBUILDER_0603-MINI,"C8, C9",Ceramic Capacitors,CL10A105KP8NNNC,,,,
1,220pF,MICROBUILDER_CAP_CERAMIC0603MINI,MICROBUILDER_0603-MINI,C7,Ceramic Capacitors,CL10C221JB8NNNC,,,,
2,27k,GBA_VOLUME,GBA_VOLUME,"R16, R17",,,,,,
1,4.7K,MICROBUILDER_RESISTOR0603MINI,MICROBUILDER_0603-MINI,R1,Resistors,ERJ-PA3J472V,,,,
1,470,MICROBUILDER_RESISTOR0603MINI,MICROBUILDER_0603-MINI,R4,Resistors,ERJ-PA3J471V,,,,
1,AUDIO_JACK_3.5MM_KIT,AUDIO_JACK_3.5MM_KIT,AUDIO-JACK-KIT,J1,Audio Jack,SJ1-3525NG-GR,,CONN-08774,PRT-08032,
1,Batt Conn,JST_2MM_MALE,JST-2-SMD,J3,JST 2MM MALE RA CONNECTOR,S2B-PH-SM4-TB(LF)(SN),,CONN-11443,PRT-08612,
4,CONDUCTIVE_BUTTONCONDUCTIVE_BUTTON_DIRECTIONAL_THICK,CONDUCTIVE_BUTTONCONDUCTIVE_BUTTON_DIRECTIONAL_THICK,CONDUCTIVE_BUTTON_DIRECTIONAL_THICK,"DOWN, LEFT, RIGHT, UP",,,,,,
2,CONDUCTIVE_BUTTONCONDUCTIVE_BUTTON_THICK,CONDUCTIVE_BUTTONCONDUCTIVE_BUTTON_THICK,CONDUCTIVE_BUTTON_THICK,"A, B",,,,,,
2,CONDUCTIVE_BUTTON_STARTSELECTCONDUCTIVE_BUTTON_THICK_STARTSELECT,CONDUCTIVE_BUTTON_STARTSELECTCONDUCTIVE_BUTTON_THICK_STARTSELECT,CONDUCTIVE_BUTTON_THICK_STARTSELECT,"SELECT, START",,,,,,
1,DMG3415U-7,MOSFET-P,SOT23-R,Q3,P-Channel Mosfet,DMG3415U-7,,,,
1,LED_L-115WEGW-CA,LED_L-115WEGW-CA,LED_DUOLED-A-3MM,LED2,T-1(3mm) BI-COLOR INDICATOR LAMP,SSL-LX3059IGW,,,,
1,LM4875,LM4875,SOIC8,U6,,LM4875M/NOPB,,,,
1,MBR120,DIODE-SCHOTTKYSOD-123,SOD-123,D4,,MBR120LSFT1G,,,,
1,MCP73831T-2ACI/OT,MCP73831/2,SOT23-5@1,U4,MCP73831/2 LIPO Charger,MCP73831T-2ACI/OT,,,,
1,RPI-ZERO-USB,RPI-ZERO-USB,RPI-ZERO-TH-USB-POGO,PI1,,,,,,
1,SPKR,CONN_02,1X02,J2,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,
1,SWITCH_SPDT,SWITCH_SPDT,KPS-1290,S3,SWCH-10651,RS-187R05A2-DS MT RT,,SWCH-10651,,
1,TFT-DISPLAY-2.6-51PIN,TFT-DISPLAY-2.6-51PIN,TFT-DISPLAY-2.6-51PIN,U5,"ILI9342 51P 2.6 TFT LCD""",,,,,
1,ZX62D-B-5P8(30),MICRO-USB-SMD(ZX62D-B-5P8(30)),MICRO-USB5+6P-SMD-0.65-AB,J4,320010005,ZX62D-B-5P8(30),,,,ZX62D-B-5P8(30)